#--- Experiment ---------------------------------
# comment
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.3.2466   www.pyroscience.com
#MESSRECHNER4
#--- Instrument --------------------------------------------------------------------------
#Device: FSP19 [A] FSPRO-4 SN:21450119 UiD:2466C2055D64A687 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - SHG7-597-623 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	80% (G)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	lastCal3	R1	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	R2	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	offset (pH)	dPhi_ref (°)	attenuation coefficient (1/m)	bkgdAmpl (mV)	bkgdDphi (°)	dsf_dye	dtf_dye	pka	slope	bottom_t	top_t	slope_t	pka_t	pka_is1	pka_is2
#	09.12.2024	01.01.2001	01.01.2001	1.420695	2.266000	24.890000	2.000000	0.046000	14.000000	20.000000	7.500000	0.000000	57.800000	0.033900	0.584000	0.000000	0.904700	-0.005670	8.319000	1.087000	-0.015900	-0.002465	0.000000	-0.011470	2.540000	0.250000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	R [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
11-12-2024	08:31:03.546	-0.876	7.495	7.495	27.502	938	0	1.0920	OK	11-12-2024	08:31:03.546	-0.876	37.579	OK
11-12-2024	08:31:03.647	-0.774	7.495	7.495	27.500	939	0	1.0921	OK	11-12-2024	08:31:03.647	-0.774	37.579	OK
11-12-2024	08:31:03.992	-0.429	7.496	7.496	27.509	939	0	1.0915	OK	11-12-2024	08:31:03.992	-0.429	37.581	OK
11-12-2024	08:31:04.147	-0.274	7.496	7.496	27.510	938	0	1.0915	OK	11-12-2024	08:31:04.147	-0.274	37.581	OK
11-12-2024	08:31:04.246	-0.175	7.496	7.496	27.509	938	0	1.0915	OK	11-12-2024	08:31:04.246	-0.175	37.581	OK
11-12-2024	08:31:04.347	-0.074	7.496	7.496	27.507	939	0	1.0917	OK	11-12-2024	08:31:04.347	-0.074	37.581	OK
11-12-2024	08:31:04.450	0.029	7.495	7.495	27.503	939	0	1.0919	OK	11-12-2024	08:31:04.450	0.029	37.580	OK
11-12-2024	08:31:04.647	0.226	7.496	7.496	27.506	938	0	1.0917	OK	11-12-2024	08:31:04.647	0.226	37.581	OK
11-12-2024	08:31:05.005	0.584	7.497	7.497	27.513	939	0	1.0912	OK	11-12-2024	08:31:05.005	0.584	37.580	OK
11-12-2024	08:31:05.147	0.726	7.496	7.496	27.509	938	0	1.0915	OK	11-12-2024	08:31:05.147	0.726	37.580	OK
11-12-2024	08:31:05.248	0.827	7.495	7.495	27.504	939	0	1.0919	OK	11-12-2024	08:31:05.248	0.827	37.580	OK
11-12-2024	08:31:05.347	0.926	7.496	7.496	27.506	938	0	1.0917	OK	11-12-2024	08:31:05.347	0.926	37.580	OK
11-12-2024	08:31:05.449	1.028	7.496	7.496	27.506	938	0	1.0917	OK	11-12-2024	08:31:05.449	1.028	37.580	OK
11-12-2024	08:31:05.552	1.131	7.495	7.495	27.503	938	0	1.0919	OK	11-12-2024	08:31:05.552	1.131	37.580	OK
11-12-2024	08:31:05.652	1.231	7.495	7.495	27.502	938	0	1.0920	OK	11-12-2024	08:31:05.652	1.231	37.579	OK
11-12-2024	08:31:05.994	1.573	7.496	7.496	27.508	938	0	1.0916	OK	11-12-2024	08:31:05.994	1.573	37.579	OK
11-12-2024	08:31:06.152	1.731	7.496	7.496	27.508	939	0	1.0916	OK	11-12-2024	08:31:06.152	1.731	37.579	OK
11-12-2024	08:31:06.253	1.832	7.495	7.495	27.502	938	0	1.0920	OK	11-12-2024	08:31:06.253	1.832	37.579	OK
11-12-2024	08:31:06.353	1.932	7.496	7.496	27.504	938	0	1.0918	OK	11-12-2024	08:31:06.353	1.932	37.579	OK
11-12-2024	08:31:06.452	2.031	7.496	7.496	27.506	938	0	1.0917	OK	11-12-2024	08:31:06.452	2.031	37.579	OK
11-12-2024	08:31:06.553	2.132	7.495	7.495	27.501	938	0	1.0920	OK	11-12-2024	08:31:06.553	2.132	37.579	OK
11-12-2024	08:31:06.653	2.232	7.496	7.496	27.505	938	0	1.0918	OK	11-12-2024	08:31:06.653	2.232	37.579	OK
11-12-2024	08:31:06.994	2.573	7.496	7.496	27.509	938	0	1.0915	OK	11-12-2024	08:31:06.994	2.573	37.578	OK
11-12-2024	08:31:07.153	2.732	7.496	7.496	27.508	938	0	1.0915	OK	11-12-2024	08:31:07.153	2.732	37.578	OK
11-12-2024	08:31:07.253	2.832	7.495	7.495	27.503	938	0	1.0919	OK	11-12-2024	08:31:07.253	2.832	37.579	OK
11-12-2024	08:31:07.355	2.934	7.495	7.495	27.503	938	0	1.0919	OK	11-12-2024	08:31:07.355	2.934	37.579	OK
11-12-2024	08:31:07.455	3.034	7.495	7.495	27.499	939	0	1.0922	OK	11-12-2024	08:31:07.455	3.034	37.579	OK
11-12-2024	08:31:07.555	3.134	7.495	7.495	27.504	938	0	1.0919	OK	11-12-2024	08:31:07.555	3.134	37.579	OK
11-12-2024	08:31:07.654	3.233	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:07.654	3.233	37.580	OK
11-12-2024	08:31:07.998	3.577	7.496	7.496	27.506	938	0	1.0917	OK	11-12-2024	08:31:07.998	3.577	37.579	OK
11-12-2024	08:31:08.155	3.734	7.496	7.496	27.505	939	0	1.0918	OK	11-12-2024	08:31:08.155	3.734	37.580	OK
11-12-2024	08:31:08.256	3.835	7.495	7.495	27.501	939	0	1.0921	OK	11-12-2024	08:31:08.256	3.835	37.580	OK
